ID,Number_of_Rooms,Type,Metro,Address,Area_m2,House,Parking,Price,Phones,Description,Renovation,Room_Area_m2,Balcony,Windows,Bathroom,Pets/Children_Allowed,Additional_Info,Housing_Complex,House_Series,Ceiling_Height_m,Elevator,Garbage_Chute,Ad_Link,Floor,Total_Floors,Short_Address,Total_area,Living_area,Kitchen_area,Price_per_m2
271271157,4.0,1,0,1,1,1,1,500000.0,1,1,0,1,0,0,0,0,1,1,0,3.0,1,1,1,5,0,1,200.0,20.0,9.0,25000.0
271634126,4.0,1,0,1,1,1,1,500000.0,1,1,0,1,0,0,0,0,1,1,0,3.5,1,1,1,5,0,1,198.0,95.0,18.0,5263.1578947368425
271173086,4.0,1,0,1,1,1,1,500000.0,1,1,0,1,0,0,0,1,1,1,0,3.2,1,1,1,5,0,1,200.0,116.0,4.0,4310.3448275862065
272197456,4.0,1,0,1,1,1,1,400000.0,1,1,0,1,0,0,0,0,1,0,0,3.2,1,1,1,5,0,1,170.0,95.0,17.0,4210.526315789473
273614615,2.0,1,0,1,1,1,1,225000.0,1,1,0,1,0,0,0,0,1,1,0,3.9,1,1,1,12,0,1,58.0,38.0,5.0,5921.0526315789475
274837728,3.0,1,0,1,1,1,1,470000.0,1,1,0,1,1,0,0,0,1,1,0,3.3,1,1,1,3,0,1,92.0,46.0,9.0,10217.391304347826
273643908,5.0,1,0,1,1,1,1,350000.0,1,1,0,1,0,1,0,1,1,0,0,3.2,1,1,1,4,0,1,213.0,140.0,20.0,2500.0
274475342,3.0,1,0,1,1,1,1,250000.0,1,1,0,1,0,0,0,1,1,0,0,3.2,1,1,1,2,0,1,98.0,63.0,9.0,3968.253968253968
273973191,3.0,1,0,1,1,1,1,130000.0,1,1,0,1,0,1,0,1,1,0,0,3.0,1,1,1,5,0,1,120.0,95.0,10.0,1368.421052631579
272900409,4.0,1,0,1,1,1,1,210000.0,1,1,0,1,1,1,0,1,1,0,0,310.0,1,1,1,2,0,1,90.0,66.0,10.0,3181.818181818182
271036964,4.0,1,0,1,1,1,1,290000.0,1,1,0,1,1,0,0,0,1,0,0,3.2,1,1,1,6,0,1,170.0,94.0,10.0,3085.1063829787236
273999490,3.0,1,0,1,1,1,1,100000.0,1,1,0,1,0,0,0,0,1,0,0,3.2,1,1,1,4,0,1,80.0,53.0,11.0,1886.7924528301887
274017037,3.0,1,0,1,1,1,1,200000.0,1,1,0,1,0,1,0,0,1,0,0,3.2,1,1,1,2,0,1,100.0,80.0,10.0,2500.0
273231024,5.0,1,0,1,1,1,1,500000.0,1,1,0,1,0,0,0,0,1,0,0,3.2,1,1,1,6,0,1,180.0,150.0,20.0,3333.3333333333335
274839211,5.0,1,0,1,1,1,1,450000.0,1,1,0,1,0,1,0,0,1,1,0,3.1,1,1,1,5,0,1,222.2,111.1,9.0,4050.4050405040507
274767901,5.0,1,0,1,1,1,1,450000.0,1,1,0,1,0,0,0,0,0,1,0,3.1,1,1,1,5,0,1,225.0,112.5,9.0,4000.0
274995950,2.0,1,0,1,1,1,1,120000.0,1,1,0,1,0,1,0,0,1,1,0,4.0,1,1,1,19,0,1,30.0,20.0,9.0,6000.0
274945807,5.0,1,0,1,1,1,1,450000.0,1,1,0,1,1,0,0,0,1,1,0,3.1,1,1,1,5,0,1,222.0,111.0,9.0,4054.054054054054
272911145,5.0,1,0,1,1,1,1,180000.0,1,1,0,1,0,0,0,0,1,0,0,2.7,1,1,1,4,0,1,150.0,75.0,9.0,2400.0
274748017,5.0,1,0,1,1,1,1,190000.0,1,1,0,1,0,1,0,1,1,0,0,3.2,1,1,1,3,0,1,201.0,162.0,16.0,1172.8395061728395
